wavelength transmission
2.5001837635066173 81.9841
2.5013901475745146 82.02583
2.502597070109506 82.03143
2.503805784792885 82.08466
2.5050150401103006 82.05386
2.5062260921694723 82.06789
2.50743768703918 82.17548
2.5086510832606246 82.12075
2.5098650244787137 82.11062
2.5110807716752097 82.109
2.5122970660641175 82.14055
2.5135151710748698 82.11595
2.514733825483508 82.02513
2.515954295174274 82.03677
2.5171753164781596 82.14432
2.51839815774138 82.10825
2.519621552842763 82.09913
2.52084677259769 82.12163
2.5220725484256845 82.01556
2.5233001536185133 81.92152
2.524528317129228 82.1172
2.5257576767878827 82.19178
2.5269888729098957 82.09284
2.5282212699255435 82.10949
2.5294542297786577 82.04381
2.530689033233768 81.93736
2.531924401801211 81.98766
2.53316161875107 82.29721
2.534399403098252 82.26974
2.5356383976793833 81.91576
2.5368792478457456 82.23165
2.5381213130615277 82.39034
2.539363950275191 82.19737
2.540608450317767 82.15691
2.5418535246738987 81.9211
2.5431004667097974 81.9826
2.5443479853852646 82.3267
2.545596728602732 82.37477
2.5468473468090425 81.9978
2.54809919444392 82.01778
2.5493516234016207 82.39764
2.5506059346988765 82.10822
2.551860829676304 82.03668
2.553116960075123 82.20622
2.554374980203594 82.56377
2.5556335875677627 82.31889
2.556894089611467 82.17222
2.558155835690674 82.12765
2.5594181725856626 81.82798
2.560682411619967 81.47883
2.5619472438699646 82.00851
2.5632133262486114 82.35573
2.5644813182664925 82.51003
2.565750565427281 82.81504
2.567020410635987 82.44286
2.568292173026871 81.80825
2.5695645358981016 81.82648
2.5708388210030337 82.73566
2.572113709031694 82.23286
2.573389862130638 81.70093
2.5746679450751238 82.59799
2.575947298179037 82.06389
2.5772272591265413 82.19704
2.578509157575273 82.82154
2.5797916663441924 82.16371
2.581075451546245 81.78573
2.582361181946713 82.23974
2.5836475264029404 81.58443
2.584935821213431 82.76374
2.5862254014403723 82.19163
2.58751559948467 81.64317
2.5888077556538267 82.52958
2.5901005321620554 82.72192
2.591394600466555 82.28844
2.5926906347088163 81.67191
2.5939872930938463 81.00397
2.5952859226500986 81.41945
2.5965858531251604 83.64624
2.5978864115732723 82.99085
2.5991889490803293 82.49667
2.600492117128246 81.97641
2.601796592583111 81.89272
2.603103055027776 81.95794
2.6044101518865954 81.74307
2.605719241047791 82.45235
2.6070296468804415 82.85017
2.608340691027699 82.59264
2.6096530544553693 82.43242
2.6109674208707156 82.67539
2.6122824295271507 82.17374
2.6135994465441814 82.24892
2.614917108435121 82.3213
2.6162367840798852 81.32636
2.617557792404109 82.42553
2.6188794495743926 82.87085
2.62020244208108 82.0899
2.621527459189371 83.0371
2.622853129142469 82.77101
2.6241808291519195 82.33469
2.6255091846875054 81.81461
2.626839575754901 81.87737
2.6281713157703153 82.65421
2.629503715357275 81.58291
2.63083746659823 82.05301
2.6321732643844324 82.96762
2.633509725814769 82.35229
2.6348482393285355 82.71492
2.636188114165926 82.64673
2.637528656748856 82.37726
2.638870563398865 82.35753
2.6402145332721156 82.21559
2.641559175019937 82.06893
2.6429058855928327 82.45119
2.6442532708090836 82.34523
2.6456027304736662 82.06445
2.646953568199288 82.76669
2.6483050847457625 82.64297
2.6496579821476645 82.38546
2.6510129653091092 82.07494
2.6523686314971426 81.95102
2.6537263891328844 82.65054
2.655084832615487 82.4163
2.656445373255811 82.63452
2.6578073089700998 82.45352
2.6591699347865165 81.84497
2.6605339585233403 82.28613
2.6619000909038877 82.66281
2.663266917670696 82.39318
2.664635858857436 81.50648
2.6660054973033356 81.76158
2.6673772559676565 83.30618
2.6687497147773747 82.94956
2.670124299626396 82.05302
2.671499587520464 83.42564
2.672877007297222 83.32539
2.6742551330321587 82.89279
2.6756353965157875 82.35468
2.677016368884289 82.51308
2.6783994848902113 83.41301
2.6797833127213337 83.55987
2.681169290101445 83.43001
2.682555982260794 82.69566
2.6839448299036546 82.68251
2.6853343952935758 82.90737
2.686726122124598 83.05749
2.688118569684366 83.17164
2.6895131846660094 83.05059
2.6909085233720207 82.9072
2.6923060355039783 82.39313
2.693704274369942 81.99966
2.69510469268934 82.85962
2.6965058407664766 83.49312
2.6979091743480637 83.23224
2.6993132407252944 82.85287
2.7007194986816434 82.49292
2.7021264924857915 82.96878
2.7035356839674924 83.17233
2.704945614363478 82.89658
2.7063577485593378 82.88206
2.7077706247503777 82.54245
2.7091857108876214 82.28161
2.7106015421154295 82.88056
2.7120195894598984 83.81611
2.7134383850048884 83.42107
2.714859402861245 83.00766
2.7162811720427302 82.83415
2.7177051697546593 82.66962
2.7191299219310605 82.38112
2.7205569088814756 82.0851
2.721984653450524 83.87939
2.7234146390617733 82.88412
2.7248453854607155 82.65799
2.726278379194788 83.83572
2.7277121369005988 83.44324
2.729148148259336 83.03861
2.7305849267889224 82.93726
2.732023965314224 82.94848
2.7334637742246395 82.78838
2.7349058494986784 82.74277
2.736348698387333 83.28705
2.737793820032766 82.54533
2.7392397185376405 81.67644
2.7406878962178234 82.89303
2.7421368540176827 83.83121
2.7435880974368847 83.62875
2.745040124251496 83.08742
2.7464944431551177 83.02361
2.747949548745465 82.91257
2.749406952920255 82.90192
2.7508651470887595 82.72267
2.752325646363036 82.75513
2.753786938953776 82.44283
2.7552505431976444 81.77198
