wavelength transmission
2.5001837635066173 70.9425
2.5013901475745146 70.92118
2.502597070109506 70.89436
2.503805784792885 70.94551
2.5050150401103006 70.9436
2.5062260921694723 70.92525
2.50743768703918 70.94938
2.5086510832606246 70.93627
2.5098650244787137 70.95621
2.5110807716752097 70.95082
2.5122970660641175 70.94926
2.5135151710748698 70.9532
2.514733825483508 70.91592
2.515954295174274 70.95202
2.5171753164781596 70.98946
2.51839815774138 70.92513
2.519621552842763 70.91348
2.52084677259769 70.94776
2.5220725484256845 70.90567
2.5233001536185133 70.88783
2.524528317129228 70.95314
2.5257576767878827 70.94229
2.5269888729098957 70.90844
2.5282212699255435 70.97355
2.5294542297786577 70.93099
2.530689033233768 70.82335
2.531924401801211 70.78967
2.53316161875107 70.98061
2.534399403098252 71.0154
2.5356383976793833 70.85355
2.5368792478457456 71.03555
2.5381213130615277 71.09209
2.539363950275191 71.00025
2.540608450317767 70.9912
2.5418535246738987 70.79185
2.5431004667097974 70.85591
2.5443479853852646 71.07633
2.545596728602732 71.0922
2.5468473468090425 70.91695
2.54809919444392 70.91628
2.5493516234016207 71.08595
2.5506059346988765 70.87916
2.551860829676304 70.80044
2.553116960075123 70.93253
2.554374980203594 71.1681
2.5556335875677627 71.05595
2.556894089611467 71.00211
2.558155835690674 70.97184
2.5594181725856626 70.72062
2.560682411619967 70.36715
2.5619472438699646 70.55277
2.5632133262486114 70.75002
2.5644813182664925 70.92415
2.565750565427281 71.27435
2.567020410635987 71.08023
2.568292173026871 70.70347
2.5695645358981016 70.74171
2.5708388210030337 71.25967
2.572113709031694 70.96221
2.573389862130638 70.58014
2.5746679450751238 71.07545
2.575947298179037 70.81457
2.5772272591265413 70.90447
2.578509157575273 71.32285
2.5797916663441924 70.92006
2.581075451546245 70.66532
2.582361181946713 70.94551
2.5836475264029404 70.56377
2.584935821213431 71.21888
2.5862254014403723 70.84898
2.58751559948467 70.46039
2.5888077556538267 70.93747
2.5901005321620554 71.13464
2.591394600466555 70.97461
2.5926906347088163 70.55063
2.5939872930938463 69.89355
2.5952859226500986 69.76956
2.5965858531251604 71.45855
2.5978864115732723 71.29973
2.5991889490803293 71.1142
2.600492117128246 70.79693
2.601796592583111 70.65434
2.603103055027776 70.66417
2.6044101518865954 70.46913
2.605719241047791 70.98021
2.6070296468804415 71.40825
2.608340691027699 71.24273
2.6096530544553693 71.04825
2.6109674208707156 71.17623
2.6122824295271507 70.98261
2.6135994465441814 70.92343
2.614917108435121 70.89993
2.6162367840798852 70.29448
2.617557792404109 70.83199
2.6188794495743926 71.15752
2.62020244208108 70.72525
2.621527459189371 71.33621
2.622853129142469 71.2464
2.6241808291519195 70.97714
2.6255091846875054 70.64998
2.626839575754901 70.69588
2.6281713157703153 71.19321
2.629503715357275 70.57934
2.63083746659823 70.84085
2.6321732643844324 71.30586
2.633509725814769 70.93475
2.6348482393285355 71.21795
2.636188114165926 71.1702
2.637528656748856 71.0089
2.638870563398865 70.99265
2.6402145332721156 70.92807
2.641559175019937 70.87512
2.6429058855928327 71.04257
2.6442532708090836 70.97894
2.6456027304736662 70.82272
2.646953568199288 71.16766
2.6483050847457625 71.09334
2.6496579821476645 70.91126
2.6510129653091092 70.73335
2.6523686314971426 70.70746
2.6537263891328844 71.11354
2.655084832615487 70.94552
2.656445373255811 71.11562
2.6578073089700998 71.10383
2.6591699347865165 70.64553
2.6605339585233403 70.77316
2.6619000909038877 71.03178
2.663266917670696 70.867
2.664635858857436 70.25186
2.6660054973033356 70.24821
2.6673772559676565 71.08542
2.6687497147773747 70.98085
2.670124299626396 70.31061
2.671499587520464 71.18529
2.672877007297222 71.16635
2.6742551330321587 70.8567
