wavelength         transmission
    0.500529562      83.76945391
    0.500529562      83.19647659
    0.500314946      82.31096618
    0.500958795      84.39452008
    0.501602645      85.15848985
    0.501817262      85.74883012
    0.502461112      86.55620725
    0.502675728      87.31149554
    0.503104961      87.93656171
    0.503748811      88.74393885
    0.504607278      89.60340483
    0.505322666       90.3673746
    0.506181133      90.99244076
    0.507182677      91.65223283
    0.508470377      91.99949182
    0.509758076      92.20784721
    0.511045776      92.10366951
    0.512333476      91.79113643
    0.513621176      91.54805514
    0.514908875      91.06189256
    0.516196575      90.47155229
    0.517484275      90.02011561
    0.518771974      89.56867893
    0.520059674      89.18669405
    0.521347374      88.87416097
    0.522635073      88.63107968
    0.523922773      88.35327249
    0.525210473       88.2490948
    0.526498172       88.2490948
    0.527785872      88.31854659
    0.529073572      88.45745019
    0.530361271      88.66580558
    0.531648971      88.90888687
    0.532936671      89.22141995
     0.53422437      89.67285663
     0.53551207      90.02011561
     0.53679977      90.47155229
    0.538087469      90.88826307
    0.539375169      91.37442565
    0.540662869      91.79113643
    0.541950568      92.13839541
    0.543238268      92.58983209
    0.544525968      92.83291338
    0.545813667      93.14544646
    0.547101367      93.35380185
    0.548389067      93.59688314
    0.549676766      93.66633494
    0.550964466      93.66633494
    0.552252166      93.63160904
    0.553539865      93.45797955
    0.554827565      93.35380185
    0.556115265      93.07599466
    0.557402965      92.83291338
    0.558690664       92.3467508
    0.559978364      92.10366951
    0.561266064      91.68695873
    0.562553763      91.33969975
    0.563841463      91.02716666
    0.565129163      90.57572998
    0.566416862       90.3326487
    0.567704562      90.02011561
    0.568992262      89.81176022
    0.570279961      89.49922714
    0.571567661      89.25614585
    0.572855361      89.08251636
     0.57414306      88.90888687
     0.57543076      88.87416097
     0.57671846      88.87416097
    0.578006159      88.87416097
    0.579293859      88.87416097
    0.580581559      89.08251636
    0.581869258      89.08251636
    0.583156958      89.25614585
    0.584444658      89.42977534
    0.585732357      89.60340483
    0.587020057      89.81176022
    0.588307757      90.12429331
    0.589595456       90.3673746
    0.590883156      90.81881127
    0.592170856      91.13134436
    0.593458555      91.37442565
    0.594746255      91.68695873
    0.596033955      91.89531412
    0.597321654      92.20784721
    0.598609354      92.45092849
    0.599897054      92.65928388
    0.601184753      92.83291338
    0.602472453      93.00654287
    0.603760153      93.24962416
    0.605047853      93.24962416
    0.606335552      93.38852775
    0.607623252      93.45797955
    0.608910952      93.45797955
    0.610198651      93.45797955
    0.611486351      93.28435005
    0.612774051      93.14544646
     0.61406175      93.04126877
     0.61534945      92.83291338
     0.61663715      92.62455799
    0.617924849      92.52038029
    0.619212549       92.2425731
    0.620500249      91.99949182
    0.621787948      91.68695873
    0.623075648      91.47860334
    0.624363348      91.16607026
    0.625651047      90.92298897
    0.626938747      90.74935948
    0.628226447      90.57572998
    0.629514146       90.3326487
    0.630801846      90.02011561
    0.632089546      89.81176022
    0.633377245      89.67285663
    0.634664945      89.49922714
    0.635952645      89.39504944
    0.637240344      89.29087175
    0.638528044      89.11724226
    0.639815744      89.08251636
    0.641103443      89.08251636
    0.642391143      89.08251636
    0.643678843      89.08251636
    0.644966542      89.08251636
    0.646254242      89.08251636
    0.647541942      89.08251636
    0.648829642      89.29087175
    0.650117341      89.29087175
    0.651405041      89.46450124
    0.652692741      89.70758253
     0.65398044      89.81176022
     0.65526814      90.05484151
     0.65655584      90.15901921
    0.657843539      90.43682639
    0.659131239      90.71463358
    0.660418939      90.95771487
    0.661706638      91.23552205
    0.662994338      91.37442565
    0.664282038      91.58278104
    0.665569737      91.82586232
    0.666857437      92.10366951
    0.668145137       92.3814767
    0.669432836      92.58983209
    0.670720536      92.83291338
    0.672008236      92.93709107
    0.673295935      93.18017236
    0.674583635      93.28435005
    0.675871335      93.52743134
    0.677159034      93.66633494
    0.678446734      93.66633494
    0.679734434      93.87469033
    0.681022133      93.87469033
    0.682309833      93.87469033
    0.683597533      93.87469033
    0.684885232      93.87469033
    0.686172932      93.87469033
    0.687460632      93.83996443
    0.688748331      93.66633494
    0.690036031      93.56215724
    0.691323731      93.42325365
    0.692611431      93.24962416
     0.69389913      93.14544646
     0.69518683      92.86763927
     0.69647453      92.79818748
    0.697762229      92.52038029
    0.699049929       92.3120249
    0.700337629      92.20784721
    0.701625328      91.96476592
    0.702913028      91.68695873
    0.704200728      91.40915154
    0.705488427      91.33969975
    0.706776127      91.06189256
    0.708063827      90.85353717
    0.709351526      90.71463358
    0.710639226      90.50627819
    0.711926926        90.228471
    0.713214625      90.12429331
    0.714502325      89.95066382
    0.715790025      89.81176022
    0.717077724      89.70758253
    0.718365424      89.53395304
    0.719653124      89.46450124
    0.720940823      89.29087175
    0.722228523      89.29087175
    0.723516223      89.11724226
    0.724803922      89.08251636
    0.726091622      89.08251636
    0.727379322      89.08251636
    0.728667021      89.08251636
    0.729954721      89.08251636
    0.731242421      89.08251636
     0.73253012      89.08251636
     0.73381782      89.08251636
     0.73510552      89.15196815
     0.73639322      89.29087175
    0.737680919      89.29087175
    0.738968619      89.36032354
    0.740256319      89.49922714
    0.741544018      89.63813073
    0.742831718      89.77703432
    0.744119418      89.91593792
    0.745407117      90.08956741
    0.746694817       90.3326487
    0.747982517      90.43682639
    0.749270216      90.67990768
    0.750557916      90.78408537
    0.751845616      91.06189256
    0.753133315      91.30497385
    0.754421015      91.40915154
    0.755708715      91.68695873
    0.756996414      91.86058822
    0.758284114      92.03421771
    0.759571814       92.2425731
    0.760859513      92.52038029
    0.762147213      92.76346158
    0.763434913      92.86763927
    0.764722612      93.11072056
    0.766010312      93.24962416
    0.767298012      93.42325365
    0.768585711      93.66633494
    0.769873411      93.77051263
    0.771161111      94.01359392
     0.77244881      94.08304572
     0.77373651      94.29140111
     0.77502421       94.3608529
    0.776311909       94.4997565
    0.777599609       94.4997565
    0.778887309      94.70811189
    0.780175009      94.70811189
