wavelength transmission
1.4284798017955704 1.457265
1.42887332909339 1.35123
1.429267277554558 1.781625
1.4296612389101178 0.4313694
1.4300556220134182 -0.2402274
1.4304500181452586 0.7745461
1.4308448366103974 0.9809501
1.431239668238645 0.9147106
1.4316349227869178 1.548296
1.432030190633291 2.413725
1.4324258819875884 2.014918
1.4328215867754008 1.51049
1.433217715660211 0.9416748
1.4336138581143762 1.595211
1.4340104252557917 2.084029
1.4344072118552034 1.361012
1.4348040122285477 1.190856
1.4352010321965822 1.862478
1.4355984780359177 1.536403
1.435995937854691 1.973939
1.4363938241385694 1.824467
1.43679172453944 1.071769
1.4371900520004106 0.2446209
1.4375883937163585 1.130375
1.437987163088595 2.087376
1.4383859468542284 2.307419
1.438785158873535 1.596133
1.4391843854250919 1.441816
1.4395840408289067 1.509872
1.4399837109042621 1.69063
1.4403838104316629 1.877462
1.4407839247703318 1.276688
1.441184469162039 0.5748963
1.4415850285051814 0.1934241
1.4419860185035644 0.9927993
1.44238702359399 1.962596
1.4427884599430705 1.592096
1.4431899115252425 1.534236
1.4435917949706996 1.83768
1.4439936937907403 1.642362
1.4443960250799148 0.9683596
1.4447983718856106 0.6213697
1.4452011517675099 1.526151
1.4456039473083142 1.900308
1.4460071765336169 1.918188
1.4464104215606566 2.467579
1.4468141008817175 2.744965
1.4472177961477954 1.998314
1.4476219263186496 1.104897
1.4480260725782523 1.429101
1.4484306543546197 2.17573
1.4488352523639199 1.722476
1.4492402865032108 1.458611
1.4496453370200715 0.895959
1.450050824281391 0.5688563
1.4504563280653726 1.717045
1.4508622692095252 2.949912
1.4512682270218888 2.073228
1.4516746228113828 0.6355577
1.4520810354150948 0.3714759
1.4524878866141477 1.713942
1.4528947547738853 2.187719
1.453302062148428 1.083825
1.453709386630584 0.572445
1.454117150948266 0.4859208
1.4545249325209522 1.094398
1.4549331545511472 1.502159
1.4553413939842008 0.5208575
1.45575007449801 0.6512843
1.456158772562998 0.2535016
1.4565679123332558 0.4458126
1.45697706980348 1.055285
1.4573866696047584 0.9416075
1.4577962872552597 1.287243
1.4582063478638736 1.804332
1.4586164264714376 1.342287
1.45902694866545 0.7523941
1.4594374890086113 1.013801
1.4598484735678376 1.079152
1.4602594764268853 0.3950964
1.4606709241328983 0.696501
1.4610823902898802 0.2112817
1.4614940883294874 0.5040974
1.461906232164744 0.7582082
1.4623186085161048 0.6016839
1.4627310036221608 0.4991299
1.4631438454756225 0.703128
1.4635567062363612 -0.03486096
