wavelength reflection
3.0339658 93.02853671
3.1108094 93.09306824
3.1841601  93.1073181
3.2575108  93.1073181
3.3308615 93.10813238
3.4042122 93.13011789
3.4775629  93.1386678
3.5509136 93.15291767
3.6242644 93.18426737
3.6976151 93.19851723
3.7693358 93.19196229
3.8465392 93.22623969
3.9184822 93.22530698
3.9910179 93.31251614
4.0643686  93.3381659
4.1429058 93.31251614
4.2110701 93.39944031
4.2844208 93.42081511
4.3584507 93.50702678
4.4336691 93.47603333
 4.503219 93.51574112
4.5810837 93.53310403
4.6516537 93.52525822
 4.724525 93.51771418
4.7988346 93.52525822
4.8712265 93.51771418
4.9440338 93.54336393
5.0161814 93.58367069
 5.087517 93.61834014
5.1646293 93.61729558
  5.23798 93.64453797
5.3113307 93.66021282
5.3862096 93.71489667
5.4615978 93.72611843
5.5313829 93.76993677
5.6028159 93.77873815
5.6786276 93.82038128
 5.751435 93.81796719
5.8247857 93.86541085
5.8981364  93.8711108
5.9714872  93.8711108
6.0448379 93.91671036
6.1181886 93.95233502
6.1929775 93.95338281
6.2643467 93.96914986
6.3382407 93.97085984
6.4110821 93.98261598
6.4833121  94.0170294
6.5582929 94.00790949
6.6316436 93.97940976
 6.703556 94.03221808
 6.778345 94.02928429
6.8516957 94.00933448
6.9250464 94.07630884
7.0003148 94.19969589
7.0717478 94.28008189
7.1399121 94.26855245
7.1665851 93.99806413
7.2347494 94.06063399
7.3086095 94.12368963
7.3814509 94.12333339
7.4548016 94.10908352
7.5281523 94.18745777
 7.601503 94.23163235
7.6748537 94.22735739
7.7492911 94.29233677
7.8215551 94.33484208
7.8925772 94.38980584
7.9704793 94.47141869
8.0396896 94.52258104
8.1160447 94.77455216
8.1831223 95.03571329
8.2616594  95.3445467
8.3350101 95.50699515
8.4083608 95.62099406
8.4817115  95.6067442
8.5550622 95.52409499
 8.628413  95.4499957
8.7017637 95.42434594
8.7751144  95.3559466
8.8484651 95.29039722
8.9218158 95.24194769
8.9951665  95.1877982
9.0685172 95.13079875
9.1418679 95.17354834
9.2152187 95.22484785
9.2885694 95.30749706
9.3619201 95.41579602
9.4352708 95.44714572
9.5086215 95.45569564
9.5819722 95.51554507
9.6553229 95.52694496
9.7286736 95.50699515
9.8020244 95.43004589
9.8753751 95.40439613
9.9487258 95.36164654
10.022076 95.29039722
10.095427 95.21059799
10.168778 95.11369891
10.242129 95.05669946
10.315479 95.05099951
10.389571 94.98208199
10.462181 94.98830011
10.540718 94.89813734
10.607252 94.89767098
10.682233 94.92275074
10.755584 94.96265036
10.828934 94.93415063
 10.90147 94.88997605
10.973413  94.8608286
  11.0438 94.89347375
11.122337 94.88285112
11.195688 94.92845068
11.269039 94.91420082
11.342389 94.95125047
 11.41574 94.91705079
11.491536  94.8745862
11.559996 94.95153546
11.635792 94.94555052
11.709958 94.87715118
11.782494 94.94840049
11.855844 94.95980038
11.929195 94.93659346
12.002546 94.97690022
12.075896 94.99400006
12.149247 94.97690022
